pair;timeframe;strategy;thresholdOpen;thresholdClose;followTrend;positions;profit;drawdown;long;winratio;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;meanholdtime;stringCodedParams;stringCodedPositions;stringCodedResult;
USDJPY;216;SSIStrategy_V0;0,23;0,08;False;2;0,039999999999992;0;1;0,5;0,5;-0,680000000000007;0,719999999999999;0,019999999999996;0;0;0,700000000000003;4265;pair:USDJPY|timeframe:216|strategy:SSIStrategy_V0|thresholdOpen:0,23|thresholdClose:0,08|followTrend:False;L:1447360366919:122,66:1447781750919:123,38|L:1447875320919:123,5:1447965779919:122,82|;positions:2|profit:0,039999999999992|drawdown:0|long:1|winratio:0,5|positivedaysratio:0,5|meanloss:-0,680000000000007|meanwin:0,719999999999999|meantrade:0,019999999999996|stddeviationwin:0|stddeviationloss:0|stddeviation:0,700000000000003|meanholdtime:4265;
GBPUSD;216;SSIStrategy_V0;0,21;0,12;True;4;0,00299999999999989;-0,00280000000000014;1;0,5;1;-0,00280000000000014;0,00290000000000001;0,000999999999999964;0,00129999999999997;0;0,00288905982400278;2900;pair:GBPUSD|timeframe:216|strategy:SSIStrategy_V0|thresholdOpen:0,21|thresholdClose:0,12|followTrend:True;L:1447279141919:1,5214:1447318876919:1,5186|L:1447358889919:1,5228:1447915110919:1,527|L:1447933846919:1,5272:1447964929919:1,5288|L:1447987702919:1,5298:1448056740919:1,5298|;positions:4|profit:0,00299999999999989|drawdown:-0,00280000000000014|long:1|winratio:0,5|positivedaysratio:1|meanloss:-0,00280000000000014|meanwin:0,00290000000000001|meantrade:0,000999999999999964|stddeviationwin:0,00129999999999997|stddeviationloss:0|stddeviation:0,00288905982400278|meanholdtime:2900;
