pair;timeframe;strategy;tp;threshold;to;stochT;sl;againstCrowd;name;positions;profit;drawdown;long;winratio;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;meanholdtime;hitTo;hitTp;hitSl;stringCodedParams;stringCodedPositions;stringCodedResult;
EURJPY;720;SSIStochStrategy_V0;0,86;0,46;6300000;24000000;0,86;True;SSIStochStrategy_V0;93;2,82999999999981;-0,630000000000024;0,580645161290323;0,473118279569893;0,666666666666667;-0,12521739130435;0,195227272727271;0,0314444444444424;0,489115568405052;0,0891929791162358;0,382992779482592;204;91;1;0;pair:EURJPY|timeframe:720|strategy:SSIStochStrategy_V0|tp:0,86|threshold:0,46|to:6300000|stochT:24000000|sl:0,86|againstCrowd:True|name:SSIStochStrategy_V0;L:1448391590052:130,32:1448397891052:130,44|S:1448987099052:130,41:1449001772052:130,66|L:1449002745052:130,62:1449009046052:130,62|S:1449039154052:130,62:1449045455052:130,77|S:1449051148052:130,48:1449057449052:130,45|S:1449057450052:130,45:1449063751052:130,58|L:1449065514052:130,56:1449071815052:130,47|S:1449072443052:130,57:1449078744052:130,73|L:1449079586052:130,74:1449085887052:130,82|S:1449087366052:130,8:1449093667052:130,83|L:1449098553052:130,78:1449444515052:134,07|S:1449445387052:134,1:1449482953052:133,53|L:1449483312052:133,47:1449489613052:133,43|L:1449489614052:133,44:1449495915052:133,52|S:1449496108052:133,5:1449502409052:133,54|L:1449502410052:133,54:1449508711052:133,68|L:1449516721052:133,74:1449523022052:133,67|S:1449531459052:133,66:1449537760052:133,57|L:1449537892052:133,58:1449544193052:133,62|L:1449555092052:133,66:1449561393052:133,76|L:1449566283052:133,72:1449572584052:133,59|L:1449597613052:133,91:1449603914052:133,99|S:1449603915052:133,99:1449610216052:133,97|S:1449625838052:133,93:1449632139052:133,96|L:1449641909052:133,97:1449648210052:133,99|S:1449667781052:134,07:1449674082052:133,95|S:1449771356052:133:1449777657052:133,03|L:1449782742052:133,06:1449789043052:133,12|L:1449815646052:133,53:1449822313052:133,7|L:1449828927052:133,26:1449835228052:133,18|S:1449835541052:133,14:1449841842052:133,1|S:1449845483052:133,27:1449851784052:133,05|L:1449854071052:132,88:1449860372052:132,7|S:1450049965052:132,6:1450056266052:132,74|L:1450057305052:132,74:1450063606052:132,73|S:1450076510052:132,95:1450082811052:132,81|S:1450085777052:132,68:1450092078052:132,72|S:1450095458052:132,66:1450101759052:132,77|L:1450110561052:132,91:1450116862052:132,95|S:1450129276052:132,99:1450135577052:133,08|L:1450154288052:133,37:1450160589052:133,2|L:1450184391052:133,13:1450190692052:132,95|L:1450206687052:132,88:1450212988052:132,9|S:1450213547052:132,95:1450219848052:132,95|L:1450242515052:133,33:1450248816052:133,4|S:1450253297052:133,32:1450259598052:133,31|S:1450267935052:133,08:1450274236052:133,26|L:1450278284052:133,17:1450284585052:133,26|S:1450285636052:133,17:1450291937052:133,43|L:1450292520052:133,06:1450298821052:133,46|L:1450308306052:133,15:1450314607052:133,09|S:1450317556052:133,03:1450323857052:132,87|L:1450335084052:132,87:1450341385052:132,91|L:1450341769052:132,98:1450348070052:132,68|L:1450370355052:132,66:1450376656052:132,68|S:1450385021052:132,78:1450391322052:132,71|S:1450392570052:132,77:1450398871052:132,81|S:1450412092052:132,85:1450418393052:132,27|S:1450429094052:131,18:1450435395052:131,6|S:1450438794052:131,39:1450445095052:131,56|L:1450447074052:131,44:1450453375052:131,78|L:1450465368052:131,66:1450471669052:131,81|L:1450471673052:131,81:1450658803052:131,51|L:1450659285052:131,85:1450665586052:131,7|S:1450668486052:131,74:1450674787052:131,98|L:1450674788052:131,98:1450681089052:131,91|L:1450681090052:131,92:1450687391052:131,77|S:1450688727052:131,89:1450695028052:131,83|L:1450695176052:131,83:1450701477052:131,81|L:1450701478052:131,81:1450707779052:132,04|L:1450713703052:132,22:1450720004052:132,17|L:1450720005052:132,18:1450726306052:132,21|S:1450720005052:132,17:1450726306052:132,22|L:1450726307052:132,22:1450732608052:132,28|L:1450761742052:132,41:1450768043052:132,23|S:1450769328052:132,25:1450775629052:132,18|L:1450788039052:132,42:1450794340052:132,64|L:1450803820052:132,77:1450810121052:132,72|L:1450819477052:132,63:1450825778052:132,54|L:1450826420052:132,57:1450832721052:132,5|L:1450833722052:132,48:1450840023052:132,38|L:1450865485052:132,17:1450871786052:132,1|S:1450875266052:132,07:1450881567052:131,86|L:1450881568052:131,86:1450887869052:131,6|S:1450895477052:131,68:1450901778052:131,84|L:1450913390052:131,92:1450919691052:131,96|L:1450919747052:131,97:1450926048052:131,97|S:1450926607052:131,94:1450932908052:131,9|S:1450949421052:131,85:1450955722052:131,78|L:1450957961052:131,8:1450964262052:131,78|S:1450964263052:131,78:1450970564052:131,73|L:1450970626052:131,74:1450976927052:131,85|L:1450977540052:131,85:1450980077052:131,7|;positions:93|profit:2,82999999999981|drawdown:-0,630000000000024|long:0,580645161290323|winratio:0,473118279569893|positivedaysratio:0,666666666666667|meanloss:-0,12521739130435|meanwin:0,195227272727271|meantrade:0,0314444444444424|stddeviationwin:0,489115568405052|stddeviationloss:0,0891929791162358|stddeviation:0,382992779482592|meanholdtime:204|hitTo:91|hitTp:1|hitSl:0;
GBPUSD;720;SSIStochStrategy_V0;1,21;0,21;14100000;61200000;1,21;True;SSIStochStrategy_V0;45;-0,0124999999999997;-0,0144999999999997;0,466666666666667;0,466666666666667;0,5;-0,0022782608695652;0,00189999999999999;-0,000284090909090903;0,00165356757173261;0,0021962332420957;0,0028603832532323;490;45;0;0;pair:GBPUSD|timeframe:720|strategy:SSIStochStrategy_V0|tp:1,21|threshold:0,21|to:14100000|stochT:61200000|sl:1,21|againstCrowd:True|name:SSIStochStrategy_V0;S:1448389207052:1,5078:1448987088052:1,506|L:1448987284052:1,5063:1449001794052:1,5083|S:1449005512052:1,5078:1449019613052:1,5072|S:1449044030052:1,507:1449058131052:1,5037|S:1449083362052:1,495:1449097463052:1,4948|S:1449445440052:1,5112:1449482940052:1,5066|L:1449487667052:1,5091:1449501768052:1,507|L:1449516836052:1,5076:1449530937052:1,5052|L:1449560295052:1,5051:1449574396052:1,5|S:1449576717052:1,4999:1449590818052:1,4995|S:1449609100052:1,5009:1449623201052:1,5007|S:1449641908052:1,5015:1449656009052:1,5069|L:1449656907052:1,5072:1449671008052:1,5139|L:1449673538052:1,514:1449770959052:1,5169|S:1449771251052:1,5171:1449785352052:1,5161|L:1449794447052:1,5151:1449808548052:1,514|L:1449809961052:1,5141:1449824062052:1,5157|S:1449824266052:1,5159:1449838367052:1,517|S:1449838484052:1,5167:1449852585052:1,5213|S:1450045007052:1,5224:1450059108052:1,5192|S:1450105474052:1,5142:1450119575052:1,5144|S:1450131051052:1,5149:1450145152052:1,5157|L:1450155743052:1,5167:1450169844052:1,5145|L:1450183785052:1,5149:1450197886052:1,5057|L:1450206129052:1,5048:1450220230052:1,5037|S:1450227533052:1,5043:1450241634052:1,5048|S:1450276606052:1,5039:1450290707052:1,5023|L:1450290708052:1,5023:1450304809052:1,4999|L:1450326896052:1,4954:1450340997052:1,4939|L:1450342893052:1,4944:1450356994052:1,4931|S:1450386242052:1,4893:1450400343052:1,4903|S:1450418635052:1,4927:1450432736052:1,4924|L:1450443514052:1,4907:1450457615052:1,4909|S:1450658978052:1,4912:1450673079052:1,4921|L:1450674907052:1,4916:1450689008052:1,4894|S:1450706094052:1,4918:1450720195052:1,4883|L:1450728198052:1,4884:1450742299052:1,4896|S:1450742410052:1,4891:1450756511052:1,4883|S:1450776209052:1,4902:1450790310052:1,4873|L:1450800905052:1,482:1450815006052:1,4814|L:1450815142052:1,4815:1450829243052:1,4824|S:1450864196052:1,4838:1450878297052:1,4895|L:1450891781052:1,4871:1450905882052:1,4871|S:1450918897052:1,4877:1450932998052:1,4884|L:1450960363052:1,4931:1450974464052:1,4928|;positions:45|profit:-0,0124999999999997|drawdown:-0,0144999999999997|long:0,466666666666667|winratio:0,466666666666667|positivedaysratio:0,5|meanloss:-0,0022782608695652|meanwin:0,00189999999999999|meantrade:-0,000284090909090903|stddeviationwin:0,00165356757173261|stddeviationloss:0,0021962332420957|stddeviation:0,0028603832532323|meanholdtime:490|hitTo:45|hitTp:0|hitSl:0;
USDCAD;720;SSIStochStrategy_V0;1,31;0,31;7800000;46800000;1,31;True;SSIStochStrategy_V0;83;-0,0376000000000005;-0,0423000000000004;0,44578313253012;0,325301204819277;0,3;-0,00149454545454546;0,00165185185185183;-0,00045853658536586;0,0017168814041249;0,00163978027151291;0,00222721258688929;287;82;0;0;pair:USDCAD|timeframe:720|strategy:SSIStochStrategy_V0|tp:1,31|threshold:0,31|to:7800000|stochT:46800000|sl:1,31|againstCrowd:True|name:SSIStochStrategy_V0;S:1448389023052:1,3296:1448396824052:1,3303|L:1448399583052:1,331:1448987098052:1,3367|S:1448987099052:1,3367:1449001791052:1,3375|L:1449003044052:1,3368:1449010845052:1,3357|S:1449014791052:1,336:1449022592052:1,3369|S:1449045257052:1,3367:1449053058052:1,3371|S:1449054231052:1,3371:1449062032052:1,3383|S:1449063102052:1,3391:1449070903052:1,3349|S:1449072257052:1,3344:1449080058052:1,3366|L:1449081942052:1,3354:1449089743052:1,3349|S:1449445325052:1,3384:1449482951052:1,3426|S:1449483993052:1,3435:1449491794052:1,3441|S:1449525231052:1,3501:1449533032052:1,3512|S:1449533606052:1,3513:1449541407052:1,3505|S:1449560040052:1,3508:1449567841052:1,3538|S:1449568003052:1,3533:1449575804052:1,3544|S:1449576409052:1,3543:1449584210052:1,3592|S:1449586834052:1,3587:1449594635052:1,3589|S:1449595415052:1,3588:1449603216052:1,3581|L:1449603367052:1,3583:1449611168052:1,3576|L:1449643439052:1,3563:1449651240052:1,3582|L:1449652370052:1,3582:1449660171052:1,3565|S:1449661911052:1,3559:1449669712052:1,3572|S:1449670353052:1,3555:1449678154052:1,3572|L:1449772099052:1,3615:1449779900052:1,3627|S:1449780182052:1,363:1449787983052:1,3639|S:1449787984052:1,3638:1449795785052:1,3644|S:1449795847052:1,3642:1449803648052:1,3656|S:1449803678052:1,3654:1449811479052:1,365|L:1449834187052:1,3667:1449841988052:1,3665|L:1449843014052:1,3664:1449850815052:1,3696|S:1449851185052:1,3702:1449858986052:1,3752|L:1449867641052:1,3741:1450044030052:1,3714|L:1450083316052:1,3718:1450091117052:1,3728|S:1450095032052:1,3766:1450102833052:1,3706|S:1450102873052:1,3711:1450110674052:1,3746|S:1450114847052:1,3748:1450122648052:1,3736|L:1450131418052:1,3729:1450139219052:1,373|L:1450157773052:1,3711:1450165574052:1,3694|S:1450174976052:1,3683:1450182777052:1,3702|L:1450182865052:1,3704:1450190666052:1,3718|S:1450200319052:1,3712:1450208120052:1,3736|S:1450211646052:1,3733:1450219447052:1,3738|S:1450223989052:1,3729:1450231790052:1,3736|S:1450232062052:1,3734:1450239863052:1,3737|S:1450240002052:1,3738:1450247803052:1,3735|S:1450255069052:1,3763:1450262870052:1,3761|L:1450264928052:1,3764:1450272729052:1,3754|L:1450282637052:1,3831:1450290438052:1,3784|L:1450290439052:1,3785:1450298240052:1,38|L:1450298610052:1,3787:1450306411052:1,378|L:1450307608052:1,3789:1450315482052:1,3796|S:1450357296052:1,3829:1450365097052:1,3922|S:1450366179052:1,3927:1450373980052:1,3963|S:1450387894052:1,3958:1450395695052:1,3933|L:1450397608052:1,3946:1450405409052:1,3945|S:1450424455052:1,3914:1450432256052:1,3925|L:1450659279052:1,3955:1450667080052:1,3934|L:1450667081052:1,3935:1450674882052:1,393|L:1450675146052:1,3931:1450682947052:1,3924|L:1450683316052:1,3929:1450691117052:1,3915|L:1450692786052:1,3922:1450700587052:1,3966|L:1450701935052:1,3957:1450709736052:1,3957|L:1450710404052:1,3947:1450718205052:1,3986|S:1450722986052:1,397:1450730787052:1,3961|S:1450730788052:1,396:1450738589052:1,3964|L:1450742473052:1,3954:1450750274052:1,3949|S:1450790459052:1,3924:1450798260052:1,3927|L:1450813724052:1,394:1450821525052:1,392|L:1450826602052:1,3923:1450834403052:1,3922|S:1450837752052:1,3918:1450845553052:1,3921|S:1450845961052:1,3921:1450853762052:1,3922|S:1450866423052:1,3917:1450874224052:1,3906|S:1450876433052:1,3902:1450884234052:1,3898|L:1450886794052:1,3861:1450894595052:1,3862|L:1450908153052:1,3855:1450915954052:1,3856|L:1450919386052:1,3858:1450927187052:1,3846|L:1450929908052:1,3853:1450937709052:1,3857|L:1450940187052:1,3857:1450947988052:1,3855|L:1450948567052:1,3861:1450956368052:1,3864|L:1450956369052:1,3864:1450964170052:1,386|S:1450964839052:1,385:1450972640052:1,3855|S:1450972944052:1,3844:1450980077052:1,3853|;positions:83|profit:-0,0376000000000005|drawdown:-0,0423000000000004|long:0,44578313253012|winratio:0,325301204819277|positivedaysratio:0,3|meanloss:-0,00149454545454546|meanwin:0,00165185185185183|meantrade:-0,00045853658536586|stddeviationwin:0,0017168814041249|stddeviationloss:0,00163978027151291|stddeviation:0,00222721258688929|meanholdtime:287|hitTo:82|hitTp:0|hitSl:0;
