pair;timeframe;strategy;tp;sl;time;threshold;followTrend;name;positions;profit;drawdown;long;winratio;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;meanholdtime;hitSl;hitTp;stringCodedParams;stringCodedPositions;stringCodedResult;
AUDUSD;720;Stoch-Strategy_V0;0,31;0,31;70200000;0,02;False;Stoch-Strategy_V0;47;-0,0031000000000001;-0,00559999999999972;0,553191489361702;0,468085106382979;0,444444444444444;-0,00224400000000001;0,00240909090909091;-6,59574468085128E-05;0,000233372684599907;0,000381659534140037;0,00234387173744501;467;24;22;pair:AUDUSD|timeframe:720|strategy:Stoch-Strategy_V0|tp:0,31|sl:0,31|time:70200000|threshold:0,02|followTrend:False|name:Stoch-Strategy_V0;L:1448987278052:0,7313:1449016296052:0,7339|S:1449016491052:0,7332:1449019395052:0,7309|L:1449019555052:0,7308:1449049380052:0,7331|L:1449076127052:0,7308:1449444522052:0,7334|S:1449444702052:0,7336:1449482947052:0,7303|L:1449483010052:0,7303:1449493291052:0,7277|L:1449493444052:0,7276:1449538920052:0,7253|L:1449539015052:0,7251:1449550746052:0,7228|L:1449551146052:0,7229:1449566071052:0,7206|L:1449566214052:0,7206:1449590598052:0,7229|L:1449653016052:0,7184:1449662537052:0,7207|S:1449670757052:0,7237:1449679470052:0,7214|S:1449771138052:0,7298:1449780382052:0,7275|L:1449780383052:0,7276:1449797130052:0,7252|L:1449797273052:0,7253:1449824627052:0,723|L:1449824693052:0,7232:1449832433052:0,7209|L:1449832505052:0,721:1449845540052:0,7187|L:1449845572052:0,719:1449846664052:0,7213|L:1449864164052:0,7191:1450048782052:0,7168|L:1450048787052:0,7166:1450062839052:0,7189|S:1450082195052:0,7213:1450100598052:0,7236|S:1450100657052:0,7237:1450105953052:0,726|S:1450105958052:0,7257:1450147264052:0,728|S:1450147424052:0,7275:1450153868052:0,7251|L:1450182617052:0,7233:1450191032052:0,721|L:1450191168052:0,7211:1450193040052:0,7188|L:1450193212052:0,7189:1450195245052:0,7166|L:1450195302052:0,7164:1450200578052:0,7187|S:1450289021052:0,7225:1450292419052:0,7201|L:1450292609052:0,7199:1450294365052:0,7227|S:1450295002052:0,7256:1450295106052:0,7279|S:1450295134052:0,7265:1450296451052:0,7241|L:1450317093052:0,7173:1450337136052:0,7196|L:1450362319052:0,7153:1450363486052:0,713|L:1450363504052:0,7133:1450365940052:0,711|L:1450366043052:0,7118:1450412690052:0,7141|S:1450450742052:0,7152:1450451015052:0,7176|S:1450451018052:0,7175:1450456685052:0,7198|S:1450456736052:0,7197:1450461727052:0,7174|S:1450658988052:0,716:1450681741052:0,7183|S:1450681920052:0,7182:1450688794052:0,7159|S:1450710547052:0,7185:1450753107052:0,7208|S:1450753274052:0,7218:1450770988052:0,7241|S:1450771001052:0,724:1450877144052:0,7217|L:1450877249052:0,7215:1450899523052:0,7238|S:1450923064052:0,7251:1450942753052:0,7274|S:1450942817052:0,7272:1450980077052:0,7276|;positions:47|profit:-0,0031000000000001|drawdown:-0,00559999999999972|long:0,553191489361702|winratio:0,468085106382979|positivedaysratio:0,444444444444444|meanloss:-0,00224400000000001|meanwin:0,00240909090909091|meantrade:-6,59574468085128E-05|stddeviationwin:0,000233372684599907|stddeviationloss:0,000381659534140037|stddeviation:0,00234387173744501|meanholdtime:467|hitSl:24|hitTp:22;
USDJPY;720;Stoch-Strategy_V0;0,36;0,36;52200000;0,26;True;Stoch-Strategy_V0;25;3,14000000000003;-1,38000000000001;0,36;0,64;0,75;-0,45;0,449375000000002;0,125600000000001;0,0453415854927902;0,0124721912892478;0,43328586406667;1521;9;15;pair:USDJPY|timeframe:720|strategy:Stoch-Strategy_V0|tp:0,36|sl:0,36|time:52200000|threshold:0,26|followTrend:True|name:Stoch-Strategy_V0;S:1448394597052:122,42:1448987095052:122,9|S:1448987323052:122,86:1449063122052:123,31|L:1449081241052:123,5:1449558486052:123,05|S:1449565961052:123,09:1449638523052:122,64|S:1449641610052:122,75:1449668803052:122,3|S:1449671687052:122,09:1449681964052:121,65|S:1449771147052:121,39:1449792314052:121,84|L:1449812536052:122,02:1449831338052:121,58|S:1449840923052:121,54:1449843516052:121,09|S:1449847269052:121,19:1449854185052:120,75|S:1449871316052:120,93:1450109555052:120,49|S:1450113712052:120,55:1450126342052:120,99|L:1450136202052:121:1450190438052:121,44|L:1450229558052:121,65:1450257524052:122,09|L:1450260145052:121,98:1450294365052:121,54|S:1450294366052:121,54:1450296868052:121,98|L:1450297037052:122,08:1450313119052:122,54|L:1450335043052:122,32:1450364745052:122,77|L:1450367731052:122,63:1450410659052:123,22|L:1450410660052:123,25:1450411455052:122,79|S:1450411462052:122,61:1450412569052:122,14|S:1450448729052:121,67:1450457809052:121,23|S:1450464677052:121,38:1450715685052:120,93|S:1450717906052:121,01:1450933353052:120,57|S:1450939037052:120,62:1450980077052:120,28|;positions:25|profit:3,14000000000003|drawdown:-1,38000000000001|long:0,36|winratio:0,64|positivedaysratio:0,75|meanloss:-0,45|meanwin:0,449375000000002|meantrade:0,125600000000001|stddeviationwin:0,0453415854927902|stddeviationloss:0,0124721912892478|stddeviation:0,43328586406667|meanholdtime:1521|hitSl:9|hitTp:15;
AUDJPY;720;Stoch-Strategy_V0;0,56;0,56;30600000;0,18;False;Stoch-Strategy_V0;29;-2,25000000000003;-2,78;0,551724137931034;0,413793103448276;0,444444444444444;-0,516470588235297;0,544166666666668;-0,0775862068965527;0,137626204707614;0,217037301658997;0,555273496901731;1460;16;12;pair:AUDJPY|timeframe:720|strategy:Stoch-Strategy_V0|tp:0,56|sl:0,56|time:30600000|threshold:0,18|followTrend:False|name:Stoch-Strategy_V0;S:1448388906052:88,62:1448987098052:89,89|S:1448987287052:89,85:1449069571052:90,36|S:1449069647052:90,39:1449493285052:89,88|L:1449496580052:89,84:1449539044052:89,33|L:1449539849052:89,41:1449553567052:88,91|L:1449555582052:89,03:1449578708052:88,53|L:1449583917052:88,44:1449622786052:88,94|S:1449623262052:88,88:1449650822052:88,38|L:1449655266052:88,17:1449681673052:87,67|L:1449683428052:87,59:1449770994052:88,59|S:1449771174052:88,59:1449824662052:88,09|L:1449824905052:88,19:1449831628052:87,69|L:1449833201052:87,75:1449843477052:87,26|L:1449846157052:87,2:1450048806052:86,71|L:1450050088052:86,68:1450064922052:87,18|S:1450065420052:87,19:1450106194052:87,69|S:1450106311052:87,55:1450146972052:88,05|S:1450148732052:88:1450159895052:87,5|L:1450161438052:87,57:1450288880052:88,09|S:1450290434052:87,99:1450295103052:88,5|S:1450295199052:88,32:1450331558052:87,82|L:1450335181052:87,87:1450363817052:87,38|L:1450370302052:87,36:1450410705052:87,87|S:1450410826052:87,73:1450411479052:87,23|L:1450411657052:87,37:1450428748052:86,88|L:1450435279052:86,81:1450439666052:86,32|L:1450441893052:86,48:1450450505052:86,97|S:1450450770052:86,91:1450753120052:87,4|S:1450754018052:87,43:1450980077052:87,47|;positions:29|profit:-2,25000000000003|drawdown:-2,78|long:0,551724137931034|winratio:0,413793103448276|positivedaysratio:0,444444444444444|meanloss:-0,516470588235297|meanwin:0,544166666666668|meantrade:-0,0775862068965527|stddeviationwin:0,137626204707614|stddeviationloss:0,217037301658997|stddeviation:0,555273496901731|meanholdtime:1460|hitSl:16|hitTp:12;
NZDUSD;720;Stoch-Strategy_V0;0,41;0,41;12600000;0,28;False;Stoch-Strategy_V0;40;-0,00790000000000013;-0,0135;0,475;0,5;0,555555555555556;-0,00374500000000001;0,00335000000000001;-0,000197500000000003;0,00167406690427832;0,00305523730665883;0,00431894011882546;1052;19;20;pair:NZDUSD|timeframe:720|strategy:Stoch-Strategy_V0|tp:0,41|sl:0,41|time:12600000|threshold:0,28|followTrend:False|name:Stoch-Strategy_V0;S:1448390767052:0,654:1448987098052:0,6675|S:1448987103052:0,6675:1449062195052:0,6647|L:1449062290052:0,6652:1449075922052:0,6624|L:1449078164052:0,6626:1449444517052:0,6727|S:1449444697052:0,673:1449482952052:0,6673|L:1449483154052:0,667:1449501964052:0,6642|L:1449503913052:0,665:1449575862052:0,6622|L:1449579856052:0,662:1449611614052:0,6648|S:1449611904052:0,6644:1449651715052:0,6616|L:1449655162052:0,6609:1449668212052:0,6637|S:1449669244052:0,6643:1449771030052:0,6765|L:1449771035052:0,6765:1449788175052:0,6737|L:1449789335052:0,6743:1449814968052:0,6771|S:1449815541052:0,6763:1449828415052:0,6735|L:1449828958052:0,6746:1449845149052:0,6718|L:1449846225052:0,6718:1450091851052:0,6746|S:1450092704052:0,6743:1450107931052:0,6771|S:1450108779052:0,6769:1450146687052:0,6797|S:1450148388052:0,6789:1450163949052:0,6817|S:1450164214052:0,6811:1450186664052:0,6783|L:1450187457052:0,6784:1450194406052:0,6756|L:1450195869052:0,6758:1450288868052:0,6786|S:1450288995052:0,6783:1450292422052:0,6755|S:1450292423052:0,6749:1450293228052:0,6777|S:1450293407052:0,6772:1450295031052:0,68|S:1450296046052:0,6801:1450296866052:0,6767|L:1450297076052:0,6763:1450302326052:0,6793|S:1450303383052:0,6799:1450305784052:0,6771|L:1450306352052:0,6771:1450316917052:0,6743|L:1450317916052:0,6746:1450324140052:0,6718|L:1450325195052:0,6732:1450347676052:0,676|S:1450350004052:0,6755:1450362340052:0,6727|L:1450363087052:0,6735:1450365337052:0,6707|L:1450374683052:0,6704:1450450536052:0,6732|S:1450454082052:0,6733:1450681740052:0,6762|S:1450684040052:0,6763:1450749263052:0,6791|S:1450759036052:0,6812:1450872788052:0,6784|L:1450877393052:0,6776:1450922918052:0,6804|S:1450924940052:0,6802:1450966693052:0,683|S:1450967404052:0,6825:1450980077052:0,684|;positions:40|profit:-0,00790000000000013|drawdown:-0,0135|long:0,475|winratio:0,5|positivedaysratio:0,555555555555556|meanloss:-0,00374500000000001|meanwin:0,00335000000000001|meantrade:-0,000197500000000003|stddeviationwin:0,00167406690427832|stddeviationloss:0,00305523730665883|stddeviation:0,00431894011882546|meanholdtime:1052|hitSl:19|hitTp:20;
